Name	Value	Access	
CANFD.CFB[0]_DATA[25]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[26]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[27]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[28]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[29]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[30]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[31]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[32]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[33]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[34]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[35]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[36]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[37]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[38]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[39]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[40]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[41]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[42]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[43]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[44]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[45]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[46]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[47]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[48]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[49]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[50]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[51]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[52]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[53]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[54]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[55]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[56]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[57]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[58]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[59]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[60]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[61]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[62]	0x00	ReadWrite	
CANFD.CFB[0]_DATA[63]	0x00	ReadWrite	
CANFD.TMB[0]_HF0	0x0000'0000	ReadWrite	
CANFD.TMB[0]_HF1	0x0000'0000	ReadWrite	
CANFD.TMB[0]_HF2	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[0]	0x0000'0000	ReadWrite	
CANFD.TMB[0]_DF[1]	0x0000'0000	ReadWrite	
